key_cat_primary,Spiritual & Existential Crisis,Stress Management,Underachievement & Stalled Potential,Confidence & Assertiveness Issues,Finding Meaning in Metaphysics,Relationship Anxiety & Emotional Dependency,Body Image & Eating Disorders,Parenting Struggles & Family Tension,Lack of Direction & Goal-Setting,Gender-based Insecurities,Financial Hardship & Debt,Issues of Religious Faith,Leadership & Business Acumen,Procrastination & Time Management,Career Dissatisfaction & Job-Related Stress,Chronic Health Issues & Pain,Self-Sabotage & Bad Habits,Anxiety Disorders,Stressful Life Transitions,Trauma Recovery & PTSD,Narcissistic Abuse & Manipulative Dynamics,Inadequacy & Perfectionism,Grand Total
1940-1944,40.00%,4.00%,20.00%,,32.00%,,,,,,,,,,4.00%,,,,,,,,100.00%
1945-1949,44.83%,,3.45%,17.24%,6.90%,6.90%,,6.90%,,,6.90%,,,,,,3.45%,3.45%,,,,,100.00%
1950-1954,33.93%,12.50%,12.50%,12.50%,14.29%,,1.79%,,3.57%,,,,3.57%,,1.79%,,,1.79%,,,1.79%,,100.00%
1955-1959,27.87%,14.75%,16.39%,9.84%,14.75%,1.64%,,3.28%,1.64%,,4.92%,,,,1.64%,1.64%,,,,,1.64%,,100.00%
1960-1964,43.84%,8.22%,5.48%,8.22%,10.96%,5.48%,1.37%,6.85%,,1.37%,1.37%,1.37%,,,,,5.48%,,,,,,100.00%
1965-1969,41.24%,10.31%,8.25%,5.15%,10.31%,6.19%,1.03%,6.19%,4.12%,1.03%,2.06%,1.03%,,,,,1.03%,,,,1.03%,1.03%,100.00%
1970-1974,34.50%,4.68%,8.19%,4.09%,18.13%,9.94%,0.58%,6.43%,2.34%,3.51%,1.17%,2.34%,1.17%,0.58%,,1.17%,0.58%,0.58%,,,,,100.00%
1975-1979,29.23%,9.86%,8.10%,9.15%,13.38%,8.45%,3.52%,7.39%,2.82%,3.52%,0.70%,1.06%,0.70%,0.35%,,0.35%,0.35%,0.35%,,0.35%,0.35%,,100.00%
1980-1984,26.12%,7.96%,7.46%,9.70%,11.94%,7.21%,3.98%,10.20%,1.99%,2.74%,0.25%,1.49%,1.24%,1.49%,1.49%,2.74%,0.75%,0.25%,0.75%,,,0.25%,100.00%
1985-1989,22.73%,8.33%,10.30%,9.09%,16.36%,9.39%,2.73%,6.82%,3.18%,2.27%,1.67%,1.36%,0.91%,0.45%,1.21%,1.21%,0.76%,0.30%,0.15%,0.30%,0.15%,0.30%,100.00%
1990-1994,28.66%,10.62%,8.97%,6.32%,12.00%,8.06%,2.75%,7.05%,2.93%,3.75%,1.37%,0.73%,1.10%,0.82%,1.47%,1.01%,0.73%,0.55%,0.18%,0.73%,0.09%,0.09%,100.00%
1995-1999,26.68%,11.87%,7.98%,7.62%,11.66%,8.30%,3.41%,6.88%,2.99%,2.26%,2.47%,1.31%,1.26%,0.53%,1.05%,1.58%,0.42%,0.53%,0.32%,0.47%,0.32%,0.11%,100.00%
2000-2004,24.06%,10.40%,9.55%,8.87%,8.54%,8.44%,5.33%,7.04%,4.00%,3.00%,2.22%,1.61%,1.07%,1.22%,1.61%,1.11%,0.61%,0.50%,0.43%,0.18%,0.18%,0.04%,100.00%
2005-2009,20.44%,13.30%,10.00%,9.13%,7.42%,7.03%,6.58%,6.23%,4.82%,2.76%,2.76%,1.19%,1.87%,1.43%,1.36%,1.29%,0.77%,0.49%,0.61%,0.26%,0.19%,0.05%,100.00%
2010-2014,19.03%,15.89%,11.76%,9.86%,5.80%,6.08%,7.34%,4.53%,4.97%,2.26%,2.26%,1.81%,1.73%,1.64%,1.24%,1.27%,1.13%,0.65%,0.33%,0.17%,0.13%,0.13%,100.00%
2015-2019,18.23%,19.27%,11.01%,8.74%,4.74%,5.30%,6.87%,4.63%,4.67%,2.96%,1.60%,1.57%,1.46%,1.99%,1.73%,1.64%,1.39%,0.67%,0.67%,0.39%,0.25%,0.21%,100.00%
9_post-2014,28.57%,8.57%,8.57%,14.29%,,14.29%,,8.57%,,2.86%,8.57%,,,2.86%,,,,,2.86%,,,,100.00%
Grand Total,21.80%,14.08%,10.33%,8.95%,7.81%,6.82%,5.85%,5.69%,4.31%,2.65%,2.12%,1.47%,1.47%,1.39%,1.36%,1.34%,0.94%,0.57%,0.44%,0.28%,0.19%,0.12%,100.00%
